zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Laundry:,Heating:,Cooling:,Pets:,Parking:,SaleHistory
75205,2108679006,32.848017,-96.78086,"$3,000",House for rent,"3100 Rosedale Ave, Dallas, TX 75205",2,2,1548,3253,Single Family,In Unit,No Data,Central,Contact manager,"On street, Attached Garage","[{'date': '4/30/2019', 'event': 'Price change', 'price': '$3,000(-6.3%)'}, {'date': '3/29/2019', 'event': 'Listed for rent', 'price': '$3,200(+6.7%)'}, {'date': '9/9/2017', 'event': 'Listing removed', 'price': '$3,000--'}, {'date': '8/24/2017', 'event': 'Price change', 'price': '$3,000(-6.3%)'}, {'date': '8/11/2017', 'event': 'Listed for rent', 'price': '$3,200(-3%)'}]"
75205,2094446120,32.847741,-96.78086,"$4,200",House for rent,"3101 Rosedale Ave, Dallas, TX 75205",3,35,1870,3950,Single Family,No Data,No Data,No Data,Contact manager,No Data,"[{'date': '3/16/2019', 'event': 'Listed for rent', 'price': '$4,200--'}]"
75205,27207190,32.847231,-96.803423,"$7,250",House for rent,"4028 Glenwick Ln, Dallas, TX 75205",4,35,4320,6000,Single Family,In Unit,Forced air,Central,"Cats, small dogs",2 spaces,"[{'date': '5/2/2019', 'event': 'Price change', 'price': '$7,250(-7.1%)'}, {'date': '2/27/2019', 'event': 'Listed for rent', 'price': '$7,800--'}]"
75205,27202065,32.828778,-96.812727,"$5,950",House for rent,"4512 Lorraine Ave, Dallas, TX 75205",4,3,2948,8000,Single Family,No Data,Forced air,Central,"Cats, large dogs, small dogs",4 spaces,"[{'date': '2/19/2019', 'event': 'Listed for rent', 'price': '$5,950--'}, {'date': '2/18/2019', 'event': 'Listing removed', 'price': '$1,439,000--'}, {'date': '11/16/2018', 'event': 'Price change', 'price': '$1,439,000(-2%)'}, {'date': '9/5/2018', 'event': 'Price change', 'price': '$1,469,000(-1.7%)'}, {'date': '6/28/2018', 'event': 'Price change', 'price': '$1,495,000(-3.5%)'}]"
75206,26693520,32.816026,-96.773389,"$2,200",House for rent,"5530 Richmond Ave, Dallas, TX 75206",3,1,1573,,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,
75206,26689693,32.821742,-96.763509,"$3,240",House for rent,"6002 Llano Ave, Dallas, TX 75206",3,2,1786,,Single Family,In Unit,Forced air,Other,No,2 spaces,
75206,26693520,32.816026,-96.773389,"$2,200",House for rent,"5530 Richmond Ave, Dallas, TX 75206",3,1,1573,2320,Single Family,No Data,Forced air,Central,"Cats, small dogs",2 spaces,"[{'date': '5/19/2019', 'event': 'Listed for rent', 'price': '$2,200(-4.3%)'}, {'date': '2/9/2018', 'event': 'Listing removed', 'price': '$2,300--'}, {'date': '1/19/2018', 'event': 'Price change', 'price': '$2,300(-8%)'}, {'date': '9/8/2017', 'event': 'Listed for rent', 'price': '$2,500--'}]"
75206,26689693,32.821742,-96.763509,"$3,240",House for rent,"6002 Llano Ave, Dallas, TX 75206",3,2,1786,2791,Single Family,In Unit,Forced air,Other,No,2 spaces,"[{'date': '5/18/2019', 'event': 'Listed for rent', 'price': '$3,240--'}, {'date': '10/3/2009', 'event': 'Listing removed', 'price': '$329,000--'}, {'date': '8/14/2009', 'event': 'Price change', 'price': '$329,000(-2.9%)'}, {'date': '7/18/2009', 'event': 'Listed for sale', 'price': '$339,000--'}]"
75206,26704782,32.839928,-96.761077,"$2,000",House for rent,"4344 Skillman St, Dallas, TX 75206",2,15,1581,,Single Family,In Unit,Forced air,Central,"Cats, small dogs",2 spaces,
75206,26689693,32.821742,-96.763509,"$3,240",House for rent,"6002 Llano Ave, Dallas, TX 75206",3,2,1786,2791,Single Family,In Unit,Forced air,Other,No,2 spaces,
