zip,zid,latitude,longitude,cost/rent,status,address,bed,bath,area,zestimate,Type:,Year built:,Heating:,Cooling:,Parking:,Lot:,Price/sqft:,SaleHistory
75206,89368867,32.847242,-96.7674,"$259,900",For sale,"5816 Birchbrook Dr APT 224, Dallas, TX 75206",2,2,1155,257768,Single Family,1970,Other,Central,Carport,3.19 acres,$225,"[{'date': '3/27/2019', 'event': 'Listed for sale', 'price': '$259,900(+39.7%)'}, {'date': '9/24/2012', 'event': 'Listing removed', 'price': '$186,000--'}, {'date': '4/7/2011', 'event': 'Listed for sale', 'price': '$186,000--'}]"
75206,26704409,32.830997,-96.775908,"$659,900",For sale,"5433 Longview St, Dallas, TX 75206",3,4,3154,650841,Single Family,2011,Forced air,Central,2 spaces,"3,833 sqft",$209,"[{'date': '5/8/2019', 'event': 'Price change', 'price': '$659,900(-0.8%)'}, {'date': '4/22/2019', 'event': 'Price change', 'price': '$664,900(-2.2%)'}, {'date': '3/26/2019', 'event': 'Listed for sale', 'price': '$679,900(+10.1%)'}, {'date': '12/21/2017', 'event': 'Sold', 'price': '$617,735(+16.6%)'}, {'date': '7/22/2014', 'event': 'Sold', 'price': '----'}]"
75206,26690572,32.823203,-96.776257,"$820,000",For sale,"5424 Goodwin Ave, Dallas, TX 75206",3,3,3078,,Single Family,1922,Forced air,Central,2 spaces,"8,015 sqft",$266,
75206,26694937,32.826735,-96.766916,"$525,000",For sale,"5822 Monticello Ave, Dallas, TX 75206",3,2,1641,516261,Single Family,1926,Forced air,Central,2 spaces,"7,100 sqft",$320,"[{'date': '5/6/2019', 'event': 'Price change', 'price': '$525,000(-2.4%)'}, {'date': '4/23/2019', 'event': 'Price change', 'price': '$538,000(-1.8%)'}, {'date': '3/25/2019', 'event': 'Listed for sale', 'price': '$548,000--'}, {'date': '2/20/2018', 'event': 'Listing removed', 'price': '$3,600--'}, {'date': '1/30/2018', 'event': 'Price change', 'price': '$3,600(-2.7%)'}]"
75206,26690997,32.822685,-96.782027,"$920,000",For sale,"5207 Vickery Blvd, Dallas, TX 75206",5,3,3472,,Single Family,1926,Forced air,Central,2 spaces,"8,494 sqft",$265,
75206,26690148,32.823217,-96.76643,"$949,900",For sale,"5835 Vickery Blvd, Dallas, TX 75206",4,6,3163,836914,Single Family,2018,Forced air,Central,2 spaces,"6,969 sqft",$300,"[{'date': '4/25/2019', 'event': 'Price change', 'price': '$949,900(-4%)'}, {'date': '3/19/2019', 'event': 'Listed for sale', 'price': '$989,000(+195.2%)'}, {'date': '1/15/2018', 'event': 'Listing removed', 'price': '$335,000--'}, {'date': '1/12/2018', 'event': 'Pending sale', 'price': '$335,000--'}, {'date': '1/12/2018', 'event': 'Listed for sale', 'price': '$335,000--'}]"
75206,26689650,32.818306,-96.769681,"$470,000",For sale,"5708 Goliad Ave, Dallas, TX 75206",2,1,1715,,Single Family,1918,Forced air,Central,3 spaces,"8,494 sqft",$274,
75206,26703702,32.833871,-96.762055,"$425,000",For sale,"6050 Ellsworth Ave, Dallas, TX 75206",2,2,1511,,Single Family,1940,Forced air,Central,2 spaces,"7,187 sqft",$281,
75206,26704415,32.831528,-96.776481,"$595,000",For sale,"5418 Martel Ave, Dallas, TX 75206",3,3,2630,581782,Single Family,2006,Forced air,Central,2 spaces,"3,397 sqft",$226,"[{'date': '2/28/2019', 'event': 'Listed for sale', 'price': '$595,000--'}, {'date': '1/27/2014', 'event': 'Sold', 'price': '----'}]"
75206,162810673,32.817132,-96.770904,"$649,000",For sale,"2208 Lola Ct, Dallas, TX 75206",4,4,2629,,Single Family,2015,Forced air,Central,2 spaces,"2,439 sqft",$247,
75206,26694918,32.827696,-96.7661,"$675,000",For sale,"5842 Mercedes Ave, Dallas, TX 75206",3,3,2583,661721,Single Family,1926,Forced air,Central,2 spaces,"7,056 sqft",$261,"[{'date': '3/27/2019', 'event': 'Back on market', 'price': '$675,000--'}, {'date': '3/27/2019', 'event': 'Pending sale', 'price': '$675,000--'}, {'date': '2/21/2019', 'event': 'Listed for sale', 'price': '$675,000(+4%)'}, {'date': '8/4/2017', 'event': 'Sold', 'price': '----'}, {'date': '7/26/2017', 'event': 'Pending sale', 'price': '$649,000--'}]"
75206,26704132,32.835344,-96.772432,"$547,000",For sale,"5532 Winton St, Dallas, TX 75206",3,3,2580,546825,Single Family,2006,Forced air,Central,2 spaces,"3,920 sqft",$212,"[{'date': '5/15/2019', 'event': 'Price change', 'price': '$547,000(-0.4%)'}, {'date': '2/21/2019', 'event': 'Listed for sale', 'price': '$549,000(-0.2%)'}, {'date': '12/10/2018', 'event': 'Listing removed', 'price': '$549,999--'}, {'date': '11/7/2018', 'event': 'Price change', 'price': '$549,999(-1.8%)'}, {'date': '9/18/2018', 'event': 'Listed for sale', 'price': '$560,000(+47.8%)'}]"
75206,26689227,32.810043,-96.761928,"$839,000",For sale,"6122 Bryan Pkwy, Dallas, TX 75206",4,3,3608,836861,Single Family,1999,Forced air,Central,2 spaces,"7,840 sqft",$233,
75206,26703649,32.835921,-96.76342,"$569,000",For sale,"6019 Winton St, Dallas, TX 75206",3,2,1842,529814,Single Family,1941,Other,Central,2 spaces,"6,403 sqft",$309,"[{'date': '5/14/2019', 'event': 'Price change', 'price': '$569,000(-2.7%)'}, {'date': '2/20/2019', 'event': 'Listed for sale', 'price': '$585,000--'}]"
75206,26690762,32.819496,-96.778279,"$839,000",For sale,"5339 Richard Ave, Dallas, TX 75206",4,4,3903,839535,Single Family,2006,Forced air,Central,2 spaces,"7,492 sqft",$215,"[{'date': '2/19/2019', 'event': 'Listed for sale', 'price': '$839,000(-1.2%)'}, {'date': '1/1/2019', 'event': 'Listing removed', 'price': '$849,000--'}, {'date': '10/17/2018', 'event': 'Price change', 'price': '$849,000(-5.6%)'}, {'date': '9/17/2018', 'event': 'Price change', 'price': '$899,000(-7.8%)'}, {'date': '7/23/2018', 'event': 'Listed for sale', 'price': '$975,000--'}]"
75206,26898414,32.81017,-96.764267,"$431,000",For sale,"5645 Live Oak St, Dallas, TX 75206",3,1,1030,410785,Single Family,1992,Forced air,Central,1 space,"5,706 sqft",$418,"[{'date': '2/18/2019', 'event': 'Listed for sale', 'price': '$431,000(+0.2%)'}, {'date': '9/12/2018', 'event': 'Listing removed', 'price': '$430,000--'}, {'date': '9/12/2017', 'event': 'Listed for sale', 'price': '$430,000--'}]"
75206,26690193,32.822711,-96.767104,"$514,900",For sale,"5818 Vickery Blvd, Dallas, TX 75206",3,3,1694,510950,Single Family,1930,Forced air,Central,2 spaces,"7,013 sqft",$304,"[{'date': '3/25/2019', 'event': 'Price change', 'price': '$514,900(-2.7%)'}, {'date': '2/18/2019', 'event': 'Listed for sale', 'price': '$529,000--'}]"
75206,26690694,32.821013,-96.775273,"$799,000",For sale,"5450 Miller Ave, Dallas, TX 75206",4,35,3996,790696,Single Family,2006,Other,Central,2 spaces,"7,840 sqft",$200,"[{'date': '5/1/2019', 'event': 'Price change', 'price': '$799,000(-3.1%)'}, {'date': '3/11/2019', 'event': 'Price change', 'price': '$824,900(-8.3%)'}, {'date': '2/16/2019', 'event': 'Listed for sale', 'price': '$899,900--'}, {'date': '7/12/2017', 'event': 'Listing removed', 'price': '$4,700--'}, {'date': '6/19/2017', 'event': 'Listed for rent', 'price': '$4,700--'}]"
75206,26703623,32.832724,-96.761892,"$1,075,000",For sale,"6055 Penrose Ave, Dallas, TX 75206",5,35,3464,1131570,Single Family,2016,Forced air,Central,2 spaces,"7,182 sqft",$310,"[{'date': '5/16/2019', 'event': 'Price change', 'price': '$1,075,000(-2.2%)'}, {'date': '2/15/2019', 'event': 'Listed for sale', 'price': '$1,099,000(+20.1%)'}, {'date': '9/30/2016', 'event': 'Sold', 'price': '$915,000(-0.5%)'}, {'date': '9/6/2016', 'event': 'Pending sale', 'price': '$920,000--'}, {'date': '8/24/2016', 'event': 'Listed for sale', 'price': '$920,000(+178.8%)'}]"
75206,26690491,32.819974,-96.773296,"$699,999",For sale,"5528 Willis Ave, Dallas, TX 75206",3,2,1811,661311,Single Family,1926,Forced air,Central,No Data,"7,492 sqft",$387,"[{'date': '5/21/2019', 'event': 'Back on market', 'price': '$699,999--'}, {'date': '5/19/2019', 'event': 'Pending sale', 'price': '$699,999--'}, {'date': '5/6/2019', 'event': 'Price change', 'price': '$699,999(-5%)'}, {'date': '3/18/2019', 'event': 'Price change', 'price': '$737,000(-1.6%)'}, {'date': '2/14/2019', 'event': 'Listed for sale', 'price': '$749,000(+50.1%)'}]"
75206,26689640,32.817743,-96.766698,"$995,000",For sale,"5829 Belmont Ave, Dallas, TX 75206",4,3,3286,945347,Single Family,1918,Forced air,Central,2 spaces,"10,280 sqft",$303,"[{'date': '5/9/2019', 'event': 'Price change', 'price': '$995,000(-0.5%)'}, {'date': '3/26/2019', 'event': 'Price change', 'price': '$1,000,000(-2.4%)'}, {'date': '3/1/2019', 'event': 'Price change', 'price': '$1,025,000(-2.4%)'}, {'date': '2/13/2019', 'event': 'Listed for sale', 'price': '$1,050,000(+31.3%)'}, {'date': '10/6/2016', 'event': 'Listing removed', 'price': '$800,000--'}]"
75206,2085924827,32.809038,-96.769184,"$305,000",For sale,"5617 Lindell Ave, Dallas, TX 75206",2,2,1222,,Single Family,2005,Forced air,No Data,Attached Garage,"7,187 sqft",$250,
75206,26689704,32.821725,-96.761737,"$665,000",For sale,"6046 Llano Ave, Dallas, TX 75206",3,4,2746,665590,Single Family,2001,Forced air,Central,2 spaces,"7,492 sqft",$242,"[{'date': '5/21/2019', 'event': 'Price change', 'price': '$665,000(-1.5%)'}, {'date': '4/25/2019', 'event': 'Price change', 'price': '$675,000(-3.4%)'}, {'date': '2/8/2019', 'event': 'Listed for sale', 'price': '$699,000(-3.6%)'}, {'date': '12/31/2018', 'event': 'Listing removed', 'price': '$725,000--'}, {'date': '11/9/2018', 'event': 'Listed for sale', 'price': '$725,000(+16.9%)'}]"
75206,26690995,32.822685,-96.781865,"$1,099,900",For sale,"5209 Vickery Blvd, Dallas, TX 75206",5,5,4406,,Single Family,2019,Forced air,Central,2 spaces,"4,268 sqft",$250,
75206,162810666,32.81696,-96.771199,"$599,000",For sale,"2204 Chunk Ct, Dallas, TX 75206",3,35,2175,584125,Single Family,2015,Forced air,Central,2 spaces,"2,431 sqft",$275,"[{'date': '2/7/2019', 'event': 'Listed for sale', 'price': '$599,000(-3.4%)'}, {'date': '10/8/2018', 'event': 'Listing removed', 'price': '$620,000--'}, {'date': '7/27/2018', 'event': 'Listed for sale', 'price': '$620,000--'}, {'date': '6/30/2016', 'event': 'Sold', 'price': '----'}]"
